sta_no	sta_name	no_peaks	beg_year	end_year	type_anal	ken_tau	ken_p_value	ken_med_slope	ken_no_peaks	q_100_est	q_100_l95	q_100_u95	q_020_est	q_020_l95	q_020_u95	q_010_est	q_010_l95	q_010_u95	q_002_est	q_002_l95	q_002_u95
04096015	GALIEN RIVER NEAR SAWYER, MI	22	1996	2017	EMA	-0.195	0.215	-20.6	22	2044.0	1617.0	3380.0	3159.0	2257.0	9188.0	3746.0	2534.0	13670.0	5439.0	3205.0	34810.0
04096405	ST. JOSEPH RIVER AT BURLINGTON, MI	55	1963	2017	EMA	0.104	0.267	2.0	55	1041.0	934.1	1196.0	1312.0	1131.0	1647.0	1414.0	1181.0	1849.0	1631.0	1256.0	2364.0
04096515	SOUTH BRANCH HOG CREEK NEAR ALLEN, MI	48	1970	2017	EMA	0.09	0.369	1.142	48	484.8	415.5	601.9	678.1	553.2	1001.0	760.9	600.7	1215.0	956.3	690.3	1848.0
04097500	ST. JOSEPH RIVER AT THREE RIVERS, MI	58	1950	2017	EMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
04097540	PRAIRIE RIVER NEAR NOTTAWA, MI	55	1963	2017	EMA	0.039	0.679	0.438	55	557.4	492.5	660.0	739.3	630.0	1022.0	813.9	676.4	1211.0	983.3	762.4	1754.0
04099000	ST. JOSEPH RIVER AT MOTTVILLE, MI	94	1924	2017	EMA	0.062	0.381	4.599	93	7434.0	6830.0	8358.0	9766.0	8622.0	12400.0	10800.0	9343.0	14630.0	13350.0	10960.0	21280.0
04101500	ST. JOSEPH RIVER AT NILES, MI	87	1931	2017	EMA	0.179	0.014	35.349	87	15830.0	14700.0	17340.0	19370.0	17570.0	22830.0	20710.0	18470.0	25280.0	23560.0	20060.0	31370.0
04102500	PAW PAW RIVER AT RIVERSIDE, MI	66	1952	2017	EMA	0.255	0.003	9.123	66	2464.0	2163.0	3038.0	3610.0	2962.0	5972.0	4180.0	3315.0	8241.0	5739.0	4176.0	15570.0
04104945	WANADOGA CREEK NEAR BATTLE CREEK, MI	23	1995	2017	EMA	0.158	0.303	6.938	23	665.3	536.2	923.6	888.8	669.6	1482.0	973.0	689.4	1760.0	1148.0	704.1	2606.0
04105000	BATTLE CREEK AT BATTLE CREEK, MI	86	1931	2017	EMA	0.107	0.16	6.842	80	4351.0	3916.0	5036.0	5937.0	5112.0	7892.0	6644.0	5585.0	9479.0	8380.0	6620.0	14250.0
04105500	KALAMAZOO RIVER NEAR BATTLE CREEK, MI	80	1938	2017	EMA	0.107	0.16	6.842	80	4351.0	3916.0	5036.0	5937.0	5112.0	7892.0	6644.0	5585.0	9479.0	8380.0	6620.0	14250.0
04106000	KALAMAZOO RIVER AT COMSTOCK, MI	80	1933	2017	EMA	0.168	0.029	11.912	79	4804.0	4368.0	5450.0	6271.0	5505.0	7969.0	6884.0	5915.0	9258.0	8304.0	6737.0	12830.0
04106400	WEST FORK PORTAGE CREEK AT KALAMAZOO, MI	58	1960	2017	EMA	0.129	0.154	0.088	58	38.8	34.7	46.2	52.2	44.5	76.8	58.3	48.5	96.3	73.6	57.4	157.3
04109000	GRAND RIVER AT JACKSON, MI	82	1936	2017	EMA	-0.024	0.755	-0.255	82	821.6	769.0	903.6	1006.0	914.4	1218.0	1084.0	969.6	1380.0	1265.0	1088.0	1826.0
04111000	GRAND RIVER NEAR EATON RAPIDS, MI	56	1949	2017	EMA	0.085	0.358	5.811	56	3420.0	3149.0	4158.0	3865.0	3500.0	5893.0	3976.0	3580.0	6431.0	4136.0	3691.0	7433.0
04111379	RED CEDAR RIVER NEAR WILLIAMSTON, MI	30	1975	2017	EMA	0.025	0.858	0.682	30	1410.0	1138.0	2125.0	2192.0	1621.0	5611.0	2595.0	1833.0	8041.0	3731.0	2349.0	18440.0
04112000	SLOAN CREEK NEAR WILLIAMSTON, MI	63	1955	2017	EMA	0.003	0.976	0.0	63	494.1	403.1	665.6	850.6	638.5	1576.0	1037.0	743.5	2271.0	1563.0	995.2	5207.0
04112500	RED CEDAR RIVER AT EAST LANSING, MI	109	1903	2017	EMA	-0.151	0.02	-6.571	109	3661.0	3241.0	4307.0	5546.0	4643.0	7679.0	6451.0	5238.0	9730.0	8826.0	6617.0	16480.0
04113000	GRAND RIVER AT LANSING, MI	117	1901	2017	EMA	-0.101	0.113	-10.845	113	9698.0	8634.0	11290.0	14470.0	12220.0	19390.0	16740.0	13740.0	24090.0	22610.0	17280.0	38890.0
04116000	GRAND RIVER AT IONIA, MI	69	1949	2017	EMA	0.046	0.579	17.824	69	18610.0	16910.0	20680.0	22550.0	20180.0	27120.0	23830.0	20900.0	29890.0	26150.0	21860.0	36850.0
04117500	THORNAPPLE RIVER NEAR HASTINGS, MI	73	1945	2017	EMA	0.059	0.466	4.858	73	4060.0	3583.0	4780.0	5638.0	4773.0	7693.0	6312.0	5200.0	9273.0	7894.0	6040.0	13920.0
04119000	GRAND RIVER AT GRAND RAPIDS, MI	117	1901	2017	EMA	-0.072	0.248	-25.0	117	30610.0	27770.0	34580.0	42380.0	36980.0	52740.0	47460.0	40430.0	61920.0	59470.0	47580.0	87150.0
