sta_no	sta_name	no_peaks	beg_year	end_year	type_anal	ken_tau	ken_p_value	ken_med_slope	ken_no_peaks	q_100_est	q_100_l95	q_100_u95	q_020_est	q_020_l95	q_020_u95	q_010_est	q_010_l95	q_010_u95	q_002_est	q_002_l95	q_002_u95
04096015	GALIEN RIVER NEAR SAWYER, MI	22	1996	2017	BULL.17B	-0.195	0.215	-20.6	22	2027.0	1721.0	2562.0	2915.0	2347.0	4085.0	3337.0	2627.0	4876.0	4443.0	3323.0	7105.0
04096405	ST. JOSEPH RIVER AT BURLINGTON, MI	55	1963	2017	BULL.17B	0.104	0.267	2.0	55	1051.0	947.0	1194.0	1363.0	1198.0	1610.0	1488.0	1296.0	1783.0	1769.0	1510.0	2181.0
04096515	SOUTH BRANCH HOG CREEK NEAR ALLEN, MI	48	1970	2017	BULL.17B	0.09	0.369	1.142	48	487.0	424.7	578.8	692.6	582.3	871.7	783.2	649.1	1007.0	1002.0	805.7	1349.0
04097500	ST. JOSEPH RIVER AT THREE RIVERS, MI	58	1950	2017	BULL.17B	0.234	0.012	21.481	55	5500.0	5092.0	6052.0	6903.0	6249.0	7861.0	7488.0	6717.0	8642.0	8845.0	7779.0	10500.0
04097540	PRAIRIE RIVER NEAR NOTTAWA, MI	55	1963	2017	BULL.17B	0.039	0.679	0.438	55	555.8	499.2	635.1	751.5	655.2	898.4	835.8	720.1	1017.0	1036.0	870.3	1307.0
04099000	ST. JOSEPH RIVER AT MOTTVILLE, MI	94	1924	2017	BULL.17B	0.062	0.381	4.599	93	7423.0	6954.0	8018.0	9678.0	8875.0	10760.0	10670.0	9696.0	12000.0	13070.0	11650.0	15080.0
04101500	ST. JOSEPH RIVER AT NILES, MI	87	1931	2017	BULL.17B	0.179	0.014	35.349	87	15780.0	14770.0	17050.0	19730.0	18150.0	21870.0	21340.0	19490.0	23880.0	24980.0	22470.0	28520.0
04102500	PAW PAW RIVER AT RIVERSIDE, MI	66	1952	2017	BULL.17B	0.255	0.003	9.123	66	2453.0	2234.0	2751.0	3483.0	3068.0	4096.0	3972.0	3451.0	4765.0	5251.0	4420.0	6576.0
04104945	WANADOGA CREEK NEAR BATTLE CREEK, MI	23	1995	2017	BULL.17B	0.158	0.303	6.938	23	683.6	551.0	926.4	989.4	758.3	1480.0	1122.0	843.4	1740.0	1438.0	1037.0	2400.0
04105000	BATTLE CREEK AT BATTLE CREEK, MI	86	1931	2017	BULL.17B	0.109	0.142	3.75	85	2328.0	2120.0	2601.0	3292.0	2914.0	3829.0	3731.0	3264.0	4409.0	4831.0	4119.0	5905.0
04105500	KALAMAZOO RIVER NEAR BATTLE CREEK, MI	80	1938	2017	BULL.17B	0.107	0.16	6.842	80	4348.0	3992.0	4817.0	5915.0	5290.0	6799.0	6610.0	5848.0	7709.0	8308.0	7183.0	9996.0
04106000	KALAMAZOO RIVER AT COMSTOCK, MI	80	1933	2017	BULL.17B	0.168	0.029	11.912	79	4790.0	4422.0	5270.0	6311.0	5691.0	7178.0	6963.0	6220.0	8023.0	8512.0	7451.0	10080.0
04106400	WEST FORK PORTAGE CREEK AT KALAMAZOO, MI	58	1960	2017	BULL.17B	0.129	0.154	0.088	58	38.7	35.5	43.0	51.4	45.8	59.6	57.0	50.3	67.3	70.9	60.9	86.8
04109000	GRAND RIVER AT JACKSON, MI	82	1936	2017	BULL.17B	-0.024	0.755	-0.255	82	820.8	778.7	874.1	1001.0	933.3	1091.0	1075.0	996.3	1183.0	1249.0	1140.0	1403.0
04111000	GRAND RIVER NEAR EATON RAPIDS, MI	56	1949	2017	BULL.17B	0.085	0.358	5.811	56	3577.0	3164.0	4160.0	4622.0	3992.0	5575.0	5010.0	4292.0	6119.0	5813.0	4900.0	7271.0
04111379	RED CEDAR RIVER NEAR WILLIAMSTON, MI	30	1975	2017	BULL.17B	0.025	0.858	0.682	30	1400.0	1196.0	1732.0	2075.0	1685.0	2808.0	2401.0	1908.0	3368.0	3262.0	2471.0	4947.0
04112000	SLOAN CREEK NEAR WILLIAMSTON, MI	63	1955	2017	BULL.17B	0.003	0.976	0.0	63	488.2	416.6	592.9	839.7	680.6	1100.0	1025.0	813.2	1385.0	1556.0	1177.0	2244.0
04112500	RED CEDAR RIVER AT EAST LANSING, MI	109	1903	2017	BULL.17B	-0.151	0.02	-6.571	109	3636.0	3307.0	4060.0	5512.0	4860.0	6418.0	6422.0	5590.0	7604.0	8836.0	7475.0	10850.0
04113000	GRAND RIVER AT LANSING, MI	117	1901	2017	BULL.17B	-0.101	0.113	-10.845	113	9690.0	8829.0	10800.0	14410.0	12750.0	16690.0	16630.0	14540.0	19560.0	22360.0	19060.0	27180.0
04116000	GRAND RIVER AT IONIA, MI	69	1949	2017	BULL.17B	0.046	0.579	17.824	69	18320.0	16810.0	20330.0	23930.0	21440.0	27490.0	26280.0	23330.0	30600.0	31770.0	27630.0	38030.0
04117500	THORNAPPLE RIVER NEAR HASTINGS, MI	73	1945	2017	BULL.17B	0.059	0.466	4.858	73	4018.0	3624.0	4552.0	5715.0	4996.0	6768.0	6486.0	5599.0	7818.0	8412.0	7065.0	10520.0
04119000	GRAND RIVER AT GRAND RAPIDS, MI	117	1901	2017	BULL.17B	-0.072	0.248	-25.0	117	30500.0	28070.0	33580.0	43010.0	38620.0	48930.0	48620.0	43230.0	56020.0	62420.0	54330.0	73900.0
